Month,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG,Date,AQI Quality,AQI,AQI Ranking,PM25,PM10,So2,No2,Co,O3
Oct-15,12,16.7,25.7,7,-,38,0,-,11.9,25.2,39.6,,,,,12/10/15,Excellent,36,35,14,35,3,40,0.45,38
Oct-15,13,17.5,28,8.2,-,45,0,-,5.6,14.4,-,,,,,13/10/15,Good,56,84,30,65,5,61,0.71,37
Oct-15,14,15.1,22,9,-,67,0,6.3,6.3,10.7,-,,,,,14/10/15,Lightly Polluted,124,280,93,131,14,88,1.83,29
Oct-15,15,16.4,26,9,-,65,0,5.6,5.6,14.4,28.7,,,,o,15/10/15,Lightly Polluted,137,291,103,128,8,85,1.43,56
Oct-15,16,15.8,24,9,-,79,0,2.6,4.1,7.2,-,,,,o,16/10/15,Heavily Polluted,237,353,191,211,12,103,1.96,71
Oct-15,17,16.3,22.2,12,-,70,0,2.6,6.7,14.4,-,,,,o,17/10/15,Severely Polluted,342,366,291,179,13,114,2.46,49
Oct-15,18,14.2,19,8,-,52,0,-,10.7,18,-,,,,,18/10/15,Good,79,201,53,44,6,43,0.84,33
Oct-15,19,12.7,19,8,-,74,0,7.1,5.4,10.7,28.7,,,,,19/10/15,Good,79,171,51,96,6,56,0.81,23
Oct-15,20,11.7,14.4,9,-,80,0.51,5.5,8.1,18,-,o,,,,20/10/15,Lightly Polluted,103,254,75,112,8,64,1.4,6
Oct-15,21,9.9,11,8,-,93,8.38,6.8,5,10.7,-,o,,,,21/10/15,Good,69,132,49,36,2,39,0.95,13
Oct-15,22,9.7,11.1,8.3,-,86,2.29,8.5,5.9,14.4,-,o,,,,22/10/15,Excellent,43,38,29,33,2,40,0.71,13
Oct-15,23,12.7,19,7,-,78,0.76,6.3,6.7,14.4,28.7,,,,,23/10/15,Good,71,131,51,64,2,51,0.86,14
Oct-15,24,13.2,20,7,-,63,0,-,7.8,14.4,32.4,,,,,24/10/15,Good,77,176,55,73,5,50,1.06,22
Oct-15,25,10.4,14,8,-,61,4.83,11.4,6.9,14.4,-,o,,,,25/10/15,Good,59,141,35,66,7,59,0.92,9
Oct-15,26,9.5,16,2,-,53,0,7.9,11.9,35.9,57.6,,,,,26/10/15,Good,61,148,30,47,2,28,0.51,34
Oct-15,27,10.1,17,1,-,39,0,-,12,35.9,64.8,,,,,27/10/15,Excellent,40,61,13,41,2,32,0.44,32
Oct-15,28,9.4,16,0,-,30,0,-,15.7,32.4,50.4,,,,,28/10/15,Excellent,19,3,6,16,2,18,0.3,41
Oct-15,29,7.4,13,-1,-,30,0,-,16.9,35.9,61.1,,,,,29/10/15,Excellent,25,4,6,21,2,16,0.3,48
Oct-15,30,6.5,15,0,-,50,0,-,7.6,21.7,39.6,,,,,30/10/15,Excellent,41,80,20,44,3,41,0.61,22
Oct-15,31,7.1,17,-1,-,54,0,6.8,5.9,14.4,32.4,,,,,31/10/15,Good,60,221,38,64,4,54,0.81,20
Nov-15,1,9.1,19,1,-,51,0,-,8.5,18,35.9,,,,,1/11/15,Good,92,300,68,99,6,79,0.96,28
Nov-15,2,9.7,20,1,-,53,0,-,6.7,18,-,,,,,2/11/15,Lightly Polluted,102,257,75,115,7,79,1.42,18
Nov-15,3,9.4,19,3,-,72,0,4.5,6.7,18,28.7,,,,,3/11/15,Moderately Polluted,184,344,141,168,15,83,1.82,29
Nov-15,4,11.8,16,5,-,71,-,3.5,5.4,10.7,-,o,,,,4/11/15,Heavily Polluted,250,366,199,221,14,101,1.95,13
Nov-15,5,5.8,12.3,1,-,77,0,8.5,17.8,25.2,39.6,o,,,,5/11/15,Moderately Polluted,153,330,121,78,7,55,1.13,14
Nov-15,6,1.4,2.4,0,-,92,11.18,8.2,18.1,25.2,39.6,o,o,,,6/11/15,Excellent,29,32,20,1,2,27,0.57,29
Nov-15,7,3.4,4.9,0.7,-,73,0,10.1,13.7,25.2,-,o,o,,,7/11/15,Excellent,28,20,19,10,2,28,0.61,33
Nov-15,8,3.9,8,1,-,83,-,4.5,5.9,14.4,-,o,,,o,8/11/15,Good,77,236,56,47,3,43,0.92,21
Nov-15,9,5.5,6.7,2.6,-,87,-,3.1,4.8,7.2,-,o,,,,9/11/15,Moderately Polluted,160,334,121,118,3,56,1.61,3
Nov-15,10,5.7,6.2,5,-,93,-,1.9,5.4,10.7,-,o,,,,10/11/15,Moderately Polluted,166,340,125,79,3,54,1.56,3
Nov-15,11,6.4,7.3,5.8,-,86,-,3.9,4.4,10.7,-,o,,,,11/11/15,Lightly Polluted,131,297,99,31,4,52,1.79,6
Nov-15,12,6.9,8,5.4,-,91,-,1.9,4.6,10.7,-,o,,,,12/11/15,Moderately Polluted,190,336,147,97,5,58,2.43,2
Nov-15,13,7.2,9.3,5,-,90,0,2.1,3.5,7.2,-,,,,,13/11/15,Severely Polluted,256,364,205,142,14,68,3.06,2
Nov-15,14,7.9,11,3,-,88,0,1.4,5.6,14.4,-,,,,o,14/11/15,Severely Polluted,309,364,258,172,16,79,3.56,5
Nov-15,15,9.2,13,5,-,78,-,4.2,6.7,14.4,-,o,,,o,15/11/15,Heavily Polluted,241,362,192,122,12,68,3.19,14
Nov-15,16,5.8,9.5,0,-,76,1.02,7.6,7.6,10.7,-,,,,,16/11/15,Good,78,250,57,43,8,50,1.46,8
Nov-15,17,6,10,1.1,-,62,0,7.7,10.4,18,-,,,,,17/11/15,Good,88,315,64,84,6,43,1.67,7
Nov-15,18,4.4,5.2,2.5,-,81,-,5.5,7.8,10.7,-,o,,,,18/11/15,Good,88,327,64,83,8,47,1.2,3
Nov-15,19,2,5,0,-,98,2.03,2.3,9.1,18,-,o,,,,19/11/15,Good,100,328,74,0,2,43,1.44,2
Nov-15,20,1.5,2,0,-,94,1.27,2.9,4.4,10.7,-,o,o,,,20/11/15,Good,97,307,72,0,9,44,2.49,2
Nov-15,21,0.1,1,0,-,96,1.78,4.3,5.9,10.7,-,o,o,,,21/11/15,Good,59,170,41,4,7,40,2.17,2
Nov-15,22,-3.3,0.5,-4,-,94,7.87,4,6.7,10.7,-,,o,,,22/11/15,Good,69,298,49,2,6,37,1.02,19
Nov-15,23,-4,0,-8,-,63,6.6,-,9.8,18,-,,,,,23/11/15,Excellent,43,155,29,13,10,26,0.74,37
Nov-15,24,-6.6,-3.7,-10,-,74,20.07,9.8,5.9,14.4,-,,o,,,24/11/15,Good,57,270,41,30,8,45,0.99,23
Nov-15,25,-7.2,-0.9,-12,-,53,9.91,-,24.8,46.9,64.8,,,,,25/11/15,Good,72,286,50,34,9,37,1.13,26
Nov-15,26,-6.6,-1.3,-10,-,60,0,10.3,9.1,21.7,-,,,,,26/11/15,Good,52,163,33,43,10,34,0.8,38
Nov-15,27,-3.9,-1,-7,-,75,0,2.6,4.3,10.7,-,,,,,27/11/15,Heavily Polluted,232,361,183,161,34,84,2.6,7
Nov-15,28,-1.4,0.4,-5,-,80,-,2.3,4.1,7.2,-,,o,,,28/11/15,Severely Polluted,303,361,252,237,41,99,3.76,7
Nov-15,29,-0.9,6,-5,-,79,0,4.2,5.2,14.4,-,,,,o,29/11/15,Severely Polluted,291,354,240,272,38,102,4.73,10
Nov-15,30,-1.1,2.7,-4.2,-,94,0,1.1,4.3,7.2,-,,,,o,30/11/15,Severely Polluted,364,358,339,337,23,121,5.71,7
Dec-15,1,0.3,3.5,-2,-,80,0,1.1,10.4,35.9,-,,,,o,1/12/15,Severely Polluted,478,366,476,461,35,136,8.11,5
Dec-15,2,1.4,5.6,-2.8,-,33,0,12.6,28.5,39.6,61.1,,,,,2/12/15,Excellent,36,24,18,16,3,17,0.5,43
Dec-15,3,-0.1,2.5,-2,-,35,0,-,27.2,39.6,64.8,,,,,3/12/15,Excellent,25,15,9,22,4,13,0.37,41
Dec-15,4,2.6,7,-5,-,36,0,-,19.3,35.9,50.4,,,,,4/12/15,Excellent,36,59,21,34,9,33,0.72,31
Dec-15,5,1.3,9,-5,-,52,0,-,6.5,14.4,-,,,,,5/12/15,Good,72,216,52,72,18,62,1.51,15
Dec-15,6,0.7,6,-3,-,74,0,4.3,4.1,10.7,-,,,,,6/12/15,Moderately Polluted,176,340,135,159,30,90,2.74,6
Dec-15,7,0.7,5,-2,-,81,0,2.7,3.9,7.2,-,,,,,7/12/15,Heavily Polluted,233,336,182,201,28,90,3.5,5
Dec-15,8,1.2,2.2,-1.2,-,91,-,1.4,5.2,10.7,-,o,,,o,8/12/15,Severely Polluted,295,350,244,240,20,92,4.28,4
Dec-15,9,1.8,5,-3,-,92,0,1.4,7,18,-,,,,o,9/12/15,Severely Polluted,297,350,246,17,32,93,3.6,5
Dec-15,10,3.3,9.4,-4,-,46,0,-,13.7,21.7,-,,,,,10/12/15,Lightly Polluted,138,278,109,1,15,51,1.95,27
Dec-15,11,1,7,-4,-,52,0,6.3,5,10.7,25.2,,,,,11/12/15,Good,57,138,39,45,12,56,1.22,18
Dec-15,12,-0.7,5.4,-5,-,73,0,5.3,4.8,10.7,-,,,,o,12/12/15,Lightly Polluted,146,299,113,142,21,81,2.47,7
Dec-15,13,0.9,4.4,-5,-,77,1.52,3.2,4.1,7.2,-,o,o,,o,13/12/15,Heavily Polluted,203,332,160,187,35,94,3.67,5
Dec-15,14,2.4,6,-2,-,48,0.25,0.8,17.2,35.9,53.9,,o,,o,14/12/15,Lightly Polluted,138,260,109,36,11,58,2.04,32
Dec-15,15,0.3,4,-2,-,30,0,-,33.5,43.2,61.1,,,,,15/12/15,Excellent,26,5,6,9,3,13,0.39,51
Dec-15,16,-2.4,2,-8,-,35,0,-,25.2,43.2,61.1,,,,,16/12/15,Excellent,20,3,6,11,3,15,0.42,37
Dec-15,17,-1.8,4,-8,-,43,0,-,7.8,14.4,28.7,,,,,17/12/15,Good,66,241,47,62,15,53,1.36,13
Dec-15,18,-0.5,7,-7,-,52,0,5.3,6.5,18,-,,,,,18/12/15,Good,72,183,48,72,15,54,1.42,22
Dec-15,19,-1.7,3.7,-6,-,78,0,4.7,4.1,7.2,-,,,,,19/12/15,Moderately Polluted,162,316,122,152,28,83,3.04,8
Dec-15,20,-2.7,2.7,-7,-,86,0,2.7,4.6,14.4,-,,,,o,20/12/15,Severely Polluted,259,338,208,220,24,102,3.61,7
Dec-15,21,-1.4,6,-7,-,73,0,4,5.9,10.7,-,,,,o,21/12/15,Severely Polluted,280,325,229,234,23,104,3.98,8
Dec-15,22,-2.4,1,-7,-,90,0,1.3,5.6,10.7,-,,,,o,22/12/15,Severely Polluted,351,347,308,304,29,104,5.41,7
Dec-15,23,0.8,8,-7,-,56,0,5.3,6.7,14.4,-,,,,o,23/12/15,Severely Polluted,303,326,254,291,20,99,4.69,17
Dec-15,24,-1.5,6,-5,-,74,-,2.1,7.6,25.2,-,,o,,o,24/12/15,Moderately Polluted,151,274,117,138,17,71,2.24,22
Dec-15,25,-3.5,-2,-6,-,96,0,0.8,5.9,10.7,-,,o,,o,25/12/15,Severely Polluted,468,366,463,464,12,135,6.97,7
Dec-15,26,-3.1,1,-6,-,70,0,3.4,8.9,18,32.4,,o,,o,26/12/15,Severely Polluted,333,365,290,389,8,105,5.28,6
Dec-15,27,-7.3,-2.8,-11,-,63,0,9.5,6.7,10.7,-,,o,,,27/12/15,Good,65,146,47,31,11,51,1.11,14
Dec-15,28,-2.7,4,-8.2,-,59,0,6.4,6.1,14.4,25.2,,,,o,28/12/15,Lightly Polluted,141,293,107,119,21,75,2.27,7
Dec-15,29,-2.4,3.4,-7,-,76,0,2.3,4.6,14.4,-,,,,o,29/12/15,Severely Polluted,310,362,263,303,32,114,4.16,6
Dec-15,30,-0.4,7,-7,-,46,0,-,14.8,32.4,46.9,,,,,30/12/15,Lightly Polluted,113,174,88,87,11,54,1.64,32
Dec-15,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31/12/15,Good,86,127,58,83,15,67,1.67,14
Jan-16,1,-2,5,-7,-,67,0,4.5,6.3,14.4,-,,,,o,1/01/16,Heavily Polluted,212,337,167,185,32,102,3.37,7
Jan-16,2,-1.3,8,-6,-,74,0,2.4,4.3,10.7,-,,,,o,2/01/16,Severely Polluted,303,351,253,272,34,120,4.54,9
Jan-16,3,-1.8,3.2,-6,-,72,0,4.2,7.4,18,-,,,,o,3/01/16,Severely Polluted,302,326,256,299,19,86,3.78,11
Jan-16,4,-2.1,2,-9,-,31,0,-,15.9,28.7,43.2,,,,,4/01/16,Good,62,86,42,24,5,32,1.03,45
Jan-16,5,-4.6,2,-11,-,36,0,-,12,25.2,39.6,,,,,5/01/16,Excellent,46,67,29,40,9,33,0.8,33
Jan-16,6,-2.4,4,-10,-,32,0,-,19.8,32.4,46.9,,,,,6/01/16,Excellent,45,70,25,47,10,34,0.93,32
Jan-16,7,-3,1,-10,-,33,0,-,23,32.4,50.4,,,,,7/01/16,Excellent,24,2,11,20,6,25,0.52,42
Jan-16,8,-5,2,-11,-,41,0,8.7,8.1,18,-,,,,,8/01/16,Excellent,46,62,29,43,11,37,0.92,34
Jan-16,9,-3.4,5,-10,-,43,0,-,6.7,14.4,-,,,,,9/01/16,Good,95,183,69,91,21,69,1.77,12
Jan-16,10,-3.6,2,-11,-,35,0,-,9.8,18,-,,,,,10/01/16,Good,73,155,49,78,20,55,1.52,22
Jan-16,11,-6.9,-1,-15,-,35,0,-,14.1,25.2,39.6,,,,,11/01/16,Excellent,26,20,10,22,5,22,0.54,50
Jan-16,12,-4.3,-0.7,-12,-,26,0,-,23.7,35.9,50.4,,,,,12/01/16,Excellent,29,19,12,27,7,27,0.63,44
Jan-16,13,-4.8,3,-11,-,30,0,-,10.2,28.7,39.6,,,,,13/01/16,Excellent,43,46,23,43,12,44,0.9,33
Jan-16,14,-2.2,5,-10,-,32,0,6.8,10.6,32.4,46.9,,,,,14/01/16,Good,89,197,65,89,24,66,1.81,21
Jan-16,15,-1.1,5,-10,-,46,0,6.3,6.3,14.4,-,,,,,15/01/16,Lightly Polluted,123,248,93,119,32,80,2.48,12
Jan-16,16,-3.3,-1,-8,-,61,0,6,8.1,32.4,-,,o,,,16/01/16,Moderately Polluted,166,299,126,145,44,71,2.56,8
Jan-16,17,-8,-3.7,-13,-,41,0,-,15.4,25.2,-,,,,,17/01/16,Good,62,136,41,42,9,29,0.89,47
Jan-16,18,-10.1,-5.2,-16,-,33,0,-,17.8,39.6,61.1,,,,,18/01/16,Excellent,42,61,9,42,3,15,0.51,54
Jan-16,19,-8.1,-1,-15,-,45,0,-,5.4,14.4,-,,,,,19/01/16,Good,80,168,56,82,20,58,1.55,18
Jan-16,20,-6.1,-3,-9.3,-,63,-,5.8,6.1,10.7,-,,o,,,20/01/16,Lightly Polluted,149,339,112,136,52,76,3.33,6
Jan-16,21,-6.3,-3,-10,-,66,-,5.1,12,35.9,-,,o,,,21/01/16,Moderately Polluted,175,347,132,148,28,68,2.78,6
Jan-16,22,-12.2,-8,-17,-,26,0,-,21.1,46.9,-,,,,,22/01/16,Excellent,45,119,17,35,4,16,0.64,55
Jan-16,23,-14.9,-13,-16,-,24,0,-,39.6,50.4,72,,,,,23/01/16,Excellent,42,85,8,41,3,11,0.57,56
Jan-16,24,-7.6,-3.9,-15.1,-,28,0,-,25.6,46.9,64.8,,,,,24/01/16,Good,52,144,11,54,5,20,0.58,49
Jan-16,25,-1.8,2,-10.1,-,22,0,-,23.3,35.9,53.9,,,,,25/01/16,Excellent,47,50,26,46,15,39,0.79,36
Jan-16,26,-2.9,2,-13,-,27,0,-,15,25.2,43.2,,,,,26/01/16,Good,56,85,30,55,16,33,0.74,41
Jan-16,27,-4.2,3,-12,-,39,0,5.5,5.9,10.7,-,,,,,27/01/16,Lightly Polluted,122,295,91,100,35,73,2.03,13
Jan-16,28,-2.8,5,-9,-,38,0,6.1,7.4,14.4,-,,,,,28/01/16,Moderately Polluted,157,315,119,128,43,77,2.32,17
Jan-16,29,-5.8,-2,-11,-,46,0,7.9,8.1,14.4,-,,,,,29/01/16,Good,89,229,65,84,35,55,1.83,16
Jan-16,30,-7.3,-3,-15,-,32,0,-,9.1,21.7,25.2,,,,,30/01/16,Good,67,171,48,58,20,46,1.26,25
Jan-16,31,-4.3,1,-13,-,30,0,-,16.1,28.7,46.9,,,,,31/01/16,Excellent,33,29,16,27,8,26,0.58,50
Feb-16,1,-2.1,4,-10,-,29,0,-,16.9,32.4,50.4,,,,,1/02/16,Excellent,27,41,12,22,8,28,0.56,48
Feb-16,2,-1.8,6,-10,-,28,0,-,11.5,18,32.4,,,,,2/02/16,Excellent,38,40,26,31,14,43,0.85,39
Feb-16,3,0.2,8,-8.5,-,26,0,-,12.6,21.7,-,,,,,3/02/16,Excellent,50,39,34,44,18,52,1.16,29
Feb-16,4,0.2,5,-3,-,25,0,-,16.5,32.4,-,,,,,4/02/16,Excellent,31,3,12,23,7,21,0.47,61
Feb-16,5,-1.1,4,-9,-,29,0,-,22.4,39.6,57.6,,,,,5/02/16,Excellent,38,35,9,30,5,14,0.36,67
Feb-16,6,-0.9,7,-8,-,30,0,-,11.1,28.7,39.6,,,,,6/02/16,Excellent,45,44,27,38,11,30,0.71,51
Feb-16,7,0.3,8,-8,-,30,0,6.3,12.4,35.9,53.9,,,,,7/02/16,Good,66,93,40,68,18,34,0.9,45
Feb-16,8,4.2,12,-6,-,27,0,-,15.9,43.2,-,,,,,8/02/16,Moderately Polluted,198,277,190,250,53,35,1.01,44
Feb-16,9,2.1,11,-6,-,35,0,-,7.4,14.4,-,,,,,9/02/16,Good,56,53,40,48,18,37,1.05,46
Feb-16,10,2.7,9,-4.9,-,43,0,5.5,4.6,10.7,-,,,,,10/02/16,Lightly Polluted,122,291,92,94,45,61,2.4,26
Feb-16,11,3.6,7,-3,-,64,-,3.9,6.7,10.7,-,o,,,,11/02/16,Heavily Polluted,206,345,156,166,43,68,3.14,11
Feb-16,12,4.6,10,-2,-,77,7.87,5,13.7,32.4,-,o,o,,,12/02/16,Moderately Polluted,192,330,147,99,18,54,2.2,24
Feb-16,13,-2.1,2.7,-7,-,35,0.76,-,36.1,46.9,64.8,,,,,13/02/16,Excellent,29,22,9,8,4,12,0.34,60
Feb-16,14,-3.7,0,-8,-,33,0,-,24.4,43.2,53.9,,,,,14/02/16,Excellent,34,77,6,14,3,10,0.35,66
Feb-16,15,0.9,4.1,-7.4,-,28,0,-,23.2,39.6,53.9,,,,,15/02/16,Excellent,44,170,6,45,3,12,0.32,64
Feb-16,16,2.3,9,-6,-,35,0,-,18.1,35.9,53.9,,,,,16/02/16,Excellent,39,59,7,37,4,15,0.31,63
Feb-16,17,5.9,10,-4.3,-,27,0,-,15.6,32.4,35.9,,,,,17/02/16,Good,59,165,41,46,14,43,1,39
Feb-16,18,4.4,9,-1,-,25,0,-,16.1,32.4,50.4,,,,,18/02/16,Excellent,41,16,14,31,5,21,0.42,66
Feb-16,19,1.1,7,-5,-,25,0,-,18.1,35.9,46.9,,,,,19/02/16,Excellent,38,14,14,31,5,24,0.5,55
Feb-16,20,-1.4,4,-9,-,28,0,11.6,15.7,35.9,53.9,,,,,20/02/16,Excellent,36,14,14,21,5,18,0.42,61
Feb-16,21,0.1,6,-7.2,-,48,0,6.3,10.2,25.2,-,,,,,21/02/16,Lightly Polluted,101,244,75,95,23,52,1.39,28
Feb-16,22,2.1,9,-4.5,-,29,0,5.6,18.9,35.9,53.9,,,,,22/02/16,Lightly Polluted,104,265,71,90,16,41,1.15,43
Feb-16,23,-2.7,3,-11,-,27,0,-,16.7,39.6,57.6,,,,,23/02/16,Excellent,36,42,10,19,4,14,0.35,68
Feb-16,24,0.4,7,-8,-,27,0,-,11.9,32.4,53.9,,,,,24/02/16,Excellent,49,95,25,44,8,32,0.74,44
Feb-16,25,1.7,7,-6,-,26,0,-,10.6,21.7,43.2,,,,,25/02/16,Excellent,43,45,24,43,9,33,0.72,44
Feb-16,26,2.9,8,-6,-,30,0,-,13.5,21.7,-,,,,,26/02/16,Good,54,107,34,55,12,36,0.74,49
Feb-16,27,2.6,9,-7,-,43,0,-,9.8,18,35.9,,o,,,27/02/16,Excellent,33,16,20,30,8,33,0.58,51
Feb-16,28,0.2,7,-6,-,27,0,-,22,46.9,61.1,,,,,28/02/16,Good,56,90,29,48,7,31,0.74,49
Feb-16,29,-0.6,4,-7,-,35,0,7.9,7.6,18,25.2,,,,,29/02/16,Excellent,50,81,32,42,10,38,0.68,47
Mar-16,1,2.4,11,-5,-,45,0,6.3,6.7,14.4,28.7,,,,,1/03/16,Lightly Polluted,150,357,114,126,28,79,1.87,23
Mar-16,2,9.3,20,-1.5,-,36,0,5.8,7.6,18,-,,,,,2/03/16,Heavily Polluted,206,353,159,175,30,103,2.46,27
Mar-16,3,7.2,15,0,-,64,0,2.4,5,10.7,-,,,,o,3/03/16,Severely Polluted,321,366,271,281,44,114,3.38,23
Mar-16,4,7,11.8,2,-,50,0,1.9,10.9,28.7,-,,,,,4/03/16,Severely Polluted,376,364,326,277,46,113,4.38,11
Mar-16,5,6.4,12.4,-2,-,25,0,-,15.7,39.6,57.6,,,,,5/03/16,Heavily Polluted,207,314,59,306,2,19,0.38,66
Mar-16,6,5.2,11,-2,-,40,0,4.8,6.9,21.7,-,,,,,6/03/16,Lightly Polluted,114,187,69,177,24,64,1.45,19
Mar-16,7,4.9,11,-2,-,17,0,-,21.7,39.6,61.1,,,,,7/03/16,Good,67,112,32,84,9,28,0.82,55
Mar-16,8,1,7,-4,-,19,0,-,13.9,25.2,32.4,,,,,8/03/16,Excellent,35,13,9,25,2,13,0.35,67
Mar-16,9,1.9,6,-2,-,16,0,-,18.1,28.7,43.2,,,,,9/03/16,Excellent,33,55,9,22,3,14,0.35,62
Mar-16,10,1.8,7,-7,-,21,0,-,17,35.9,64.8,,,,,10/03/16,Excellent,46,156,10,47,3,15,0.35,64
Mar-16,11,3.2,9,-4,-,24,0,-,10.9,18,35.9,,,,,11/03/16,Excellent,47,81,21,49,6,31,0.56,52
Mar-16,12,3.2,9.7,-3,-,44,0,7.2,8.1,25.2,-,,,,,12/03/16,Lightly Polluted,140,346,106,134,37,78,1.74,20
Mar-16,13,6.1,12.7,-3,-,24,0,-,12.2,28.7,46.9,,,,,13/03/16,Good,54,102,29,46,8,31,0.64,64
Mar-16,14,9.2,17,-1.4,-,27,0,6.9,8.1,18,35.9,,,,,14/03/16,Good,99,255,73,111,19,61,1.23,36
Mar-16,15,6.7,13,-1,-,50,0,3.7,6.3,18,32.4,,,,,15/03/16,Moderately Polluted,176,354,135,189,44,76,1.54,25
Mar-16,16,9.1,17,-2.5,-,58,0,4,6.3,14.4,-,,,,,16/03/16,Severely Polluted,295,361,244,274,37,88,2.19,51
Mar-16,17,9.9,18,3,-,60,0,3.1,6.5,10.7,-,,,,,17/03/16,Severely Polluted,338,362,287,291,30,99,2.25,49
Mar-16,18,15.2,22,6.5,-,26,0,4.2,10.2,21.7,-,,,,,18/03/16,Heavily Polluted,220,342,181,132,12,64,1.51,60
Mar-16,19,9.5,15,1,-,40,0,8,8.9,18,-,,,,,19/03/16,Good,91,181,61,111,15,41,1.01,55
Mar-16,20,10.9,19,1,-,35,0,6.4,6.9,14.4,25.2,,,,,20/03/16,Good,86,188,62,103,9,58,0.98,42
Mar-16,21,13.9,20,2.9,-,37,0,7.1,8.5,18,32.4,,,,,21/03/16,Moderately Polluted,157,351,119,174,18,76,1.22,56
Mar-16,22,11.2,16,3,-,38,0,7.4,9.8,21.7,35.9,,,,,22/03/16,Moderately Polluted,155,353,107,202,24,73,1.39,34
Mar-16,23,5.8,13.5,-2,-,25,0,-,9.8,18,-,,,,,23/03/16,Excellent,44,95,16,39,3,24,0.49,64
Mar-16,24,8.9,15,-2,-,22,0,-,8.5,18,32.4,,,,,24/03/16,Excellent,34,35,11,23,2,27,0.41,60
Mar-16,25,10,15,2,-,22,0,-,10.6,18,-,,,,,25/03/16,Excellent,38,19,15,31,3,32,0.44,59
Mar-16,26,14.3,20,3.5,-,17,0,-,13,25.2,32.4,,,,,26/03/16,Excellent,36,8,11,29,3,25,0.39,64
Mar-16,27,15.3,22,4,-,17,0,-,10.6,21.7,39.6,,,,,27/03/16,Excellent,41,15,14,40,4,32,0.38,57
Mar-16,28,15.2,22.4,5,-,25,0,7.4,12.2,35.9,46.9,,,,,28/03/16,Lightly Polluted,139,356,69,188,15,65,0.8,38
Mar-16,29,16.4,24,8.2,-,21,0,-,14.6,32.4,50.4,,,,,29/03/16,Good,61,63,17,69,4,28,0.39,68
Mar-16,30,14.1,22,6,-,30,0,-,9.1,21.7,39.6,,,,,30/03/16,Good,55,50,26,68,7,37,0.54,61
Mar-16,31,17.9,23.6,8.1,-,47,0,5,12.4,25.2,-,,,,,31/03/16,Moderately Polluted,199,358,150,240,33,72,1.45,62
Apr-16,1,16.7,22,11,-,28,0.51,-,20,39.6,50.4,o,,,,1/04/16,Lightly Polluted,106,265,39,142,5,25,0.46,65
Apr-16,2,14.7,19,8,1023.2,17,0.25,29.9,14.3,28.7,50.4,,,,,2/04/16,Excellent,37,23,7,27,2,15,0.27,72
Apr-16,3,13.9,20,5,-,23,0,-,10,21.7,35.9,,,,,3/04/16,Excellent,47,78,17,50,2,23,0.31,69
Apr-16,4,16,22,6,-,41,0,8,12.2,25.2,32.4,,,,,4/04/16,Good,96,340,70,109,10,46,0.58,68
Apr-16,5,14.8,22,7,-,40,0,6.3,11.3,21.7,-,,,,,5/04/16,Lightly Polluted,149,359,112,152,17,49,0.97,80
Apr-16,6,14.3,19.9,9,-,61,-,4.5,7.4,18,32.4,o,,,,6/04/16,Moderately Polluted,175,355,136,171,30,67,1.97,53
Apr-16,7,17.7,24,9,-,13,0,-,21.7,39.6,57.6,,,,,7/04/16,Lightly Polluted,133,339,86,139,4,43,1.07,55
Apr-16,8,17,24,5,-,21,0,-,16.1,28.7,46.9,,,,,8/04/16,Good,67,202,21,83,4,28,0.34,72
Apr-16,9,14.3,26,4,-,32,0,-,11.3,28.7,-,,,,,9/04/16,Moderately Polluted,167,335,72,244,10,53,0.7,48
Apr-16,10,12.4,20,4,-,28,0,-,11.9,25.2,-,,,,,10/04/16,Lightly Polluted,123,327,52,193,12,40,0.78,58
Apr-16,11,10.5,15.2,4.5,-,41,1.27,11.3,11.1,18,-,o,,,,11/04/16,Good,76,221,39,100,8,39,0.58,60
Apr-16,12,11.4,18.4,7,-,74,0,5.6,7.2,18,-,o,,,,12/04/16,Lightly Polluted,102,302,76,76,5,56,0.76,36
Apr-16,13,18.6,27,8,-,25,0,2.1,18.1,46.9,72,,,,,13/04/16,Moderately Polluted,161,344,118,148,6,62,0.94,51
Apr-16,14,15.9,23,6,-,31,0,-,12.8,21.7,32.4,,,,,14/04/16,Good,74,168,30,96,2,24,0.33,81
Apr-16,15,16.8,22,8.1,-,45,3.81,10.3,11.5,32.4,43.2,o,,,,15/04/16,Good,81,233,55,97,15,57,1,47
Apr-16,16,15.6,20,12,-,26,1.02,-,24.6,39.6,57.6,,,,,16/04/16,Good,64,239,32,78,2,19,0.34,60
Apr-16,17,15.1,20,8,-,25,0,-,23.7,43.2,57.6,,,,,17/04/16,Excellent,43,63,14,33,2,14,0.28,81
Apr-16,18,14.9,21,8,-,27,0,-,13.7,28.7,43.2,,,,,18/04/16,Excellent,43,63,17,32,2,20,0.3,76
Apr-16,19,12.6,15,8,-,58,0,8,10.4,14.4,-,,,,,19/04/16,Good,97,343,70,99,18,63,1.29,30
Apr-16,20,18.2,27,6,-,37,0,4.8,9.1,18,-,,,,,20/04/16,Good,91,309,66,85,7,40,0.85,73
Apr-16,21,20.8,32,9,-,21,0,3.7,18.5,46.9,61.1,,,,,21/04/16,Lightly Polluted,142,333,96,159,6,57,0.93,67
